text,intent
apaga la pc,pc_shutdown
apaga la pc ahora,pc_shutdown
apaga la pc en este momento,pc_shutdown
apaga la pc por favor,pc_shutdown
apaga la pc rapidamente,pc_shutdown
apaga la pc sin demoras,pc_shutdown
nox apaga la pc,pc_shutdown
nox apaga la pc ahora,pc_shutdown
nox apaga la pc en este momento,pc_shutdown
nox apaga la pc por favor,pc_shutdown
nox apaga la pc rapidamente,pc_shutdown
nox apaga la pc sin demoras,pc_shutdown
por favor apaga la pc,pc_shutdown
por favor apaga la pc ahora,pc_shutdown
nox reinicia la pc,pc_restart
nox reinicia la pc ahora,pc_restart
nox reinicia la pc en este momento,pc_restart
nox reinicia la pc por favor,pc_restart
nox reinicia la pc rapidamente,pc_restart
nox reinicia la pc sin demoras,pc_restart
por favor reinicia la pc,pc_restart
por favor reinicia la pc ahora,pc_restart
reinicia la pc,pc_restart
reinicia la pc ahora,pc_restart
reinicia la pc en este momento,pc_restart
reinicia la pc por favor,pc_restart
reinicia la pc rapidamente,pc_restart
reinicia la pc sin demoras,pc_restart
nox pon la pc en suspension,pc_sleep
nox pon la pc en suspension ahora,pc_sleep
nox pon la pc en suspension en este momento,pc_sleep
nox pon la pc en suspension por favor,pc_sleep
nox pon la pc en suspension rapidamente,pc_sleep
nox pon la pc en suspension sin demoras,pc_sleep
pon la pc en suspension,pc_sleep
pon la pc en suspension ahora,pc_sleep
pon la pc en suspension en este momento,pc_sleep
pon la pc en suspension por favor,pc_sleep
pon la pc en suspension rapidamente,pc_sleep
pon la pc en suspension sin demoras,pc_sleep
por favor pon la pc en suspension,pc_sleep
por favor pon la pc en suspension ahora,pc_sleep
bloquea la pc,pc_lock
bloquea la pc ahora,pc_lock
bloquea la pc en este momento,pc_lock
bloquea la pc por favor,pc_lock
bloquea la pc rapidamente,pc_lock
bloquea la pc sin demoras,pc_lock
nox bloquea la pc,pc_lock
nox bloquea la pc ahora,pc_lock
nox bloquea la pc en este momento,pc_lock
nox bloquea la pc por favor,pc_lock
nox bloquea la pc rapidamente,pc_lock
nox bloquea la pc sin demoras,pc_lock
por favor bloquea la pc,pc_lock
por favor bloquea la pc ahora,pc_lock
desbloquea la pc,pc_unlock
desbloquea la pc ahora,pc_unlock
desbloquea la pc en este momento,pc_unlock
desbloquea la pc por favor,pc_unlock
desbloquea la pc rapidamente,pc_unlock
desbloquea la pc sin demoras,pc_unlock
nox desbloquea la pc,pc_unlock
nox desbloquea la pc ahora,pc_unlock
nox desbloquea la pc en este momento,pc_unlock
nox desbloquea la pc por favor,pc_unlock
nox desbloquea la pc rapidamente,pc_unlock
nox desbloquea la pc sin demoras,pc_unlock
por favor desbloquea la pc,pc_unlock
por favor desbloquea la pc ahora,pc_unlock
hiberna la pc,pc_hibernate
hiberna la pc ahora,pc_hibernate
hiberna la pc en este momento,pc_hibernate
hiberna la pc por favor,pc_hibernate
hiberna la pc rapidamente,pc_hibernate
hiberna la pc sin demoras,pc_hibernate
nox hiberna la pc,pc_hibernate
nox hiberna la pc ahora,pc_hibernate
nox hiberna la pc en este momento,pc_hibernate
nox hiberna la pc por favor,pc_hibernate
nox hiberna la pc rapidamente,pc_hibernate
nox hiberna la pc sin demoras,pc_hibernate
por favor hiberna la pc,pc_hibernate
por favor hiberna la pc ahora,pc_hibernate
nox sube el volumen,volume_up
nox sube el volumen ahora,volume_up
nox sube el volumen en este momento,volume_up
nox sube el volumen por favor,volume_up
nox sube el volumen rapidamente,volume_up
nox sube el volumen sin demoras,volume_up
por favor sube el volumen,volume_up
por favor sube el volumen ahora,volume_up
sube el volumen,volume_up
sube el volumen ahora,volume_up
sube el volumen en este momento,volume_up
sube el volumen por favor,volume_up
sube el volumen rapidamente,volume_up
sube el volumen sin demoras,volume_up
baja el volumen,volume_down
baja el volumen ahora,volume_down
baja el volumen en este momento,volume_down
baja el volumen por favor,volume_down
baja el volumen rapidamente,volume_down
baja el volumen sin demoras,volume_down
nox baja el volumen,volume_down
nox baja el volumen ahora,volume_down
nox baja el volumen en este momento,volume_down
nox baja el volumen por favor,volume_down
nox baja el volumen rapidamente,volume_down
nox baja el volumen sin demoras,volume_down
por favor baja el volumen,volume_down
por favor baja el volumen ahora,volume_down
nox silencia el volumen,volume_mute
nox silencia el volumen ahora,volume_mute
nox silencia el volumen en este momento,volume_mute
nox silencia el volumen por favor,volume_mute
nox silencia el volumen rapidamente,volume_mute
nox silencia el volumen sin demoras,volume_mute
por favor silencia el volumen,volume_mute
por favor silencia el volumen ahora,volume_mute
silencia el volumen,volume_mute
silencia el volumen ahora,volume_mute
silencia el volumen en este momento,volume_mute
silencia el volumen por favor,volume_mute
silencia el volumen rapidamente,volume_mute
silencia el volumen sin demoras,volume_mute
nox quita el silencio del volumen,volume_unmute
nox quita el silencio del volumen ahora,volume_unmute
nox quita el silencio del volumen en este momento,volume_unmute
nox quita el silencio del volumen por favor,volume_unmute
nox quita el silencio del volumen rapidamente,volume_unmute
nox quita el silencio del volumen sin demoras,volume_unmute
por favor quita el silencio del volumen,volume_unmute
por favor quita el silencio del volumen ahora,volume_unmute
quita el silencio del volumen,volume_unmute
quita el silencio del volumen ahora,volume_unmute
quita el silencio del volumen en este momento,volume_unmute
quita el silencio del volumen por favor,volume_unmute
quita el silencio del volumen rapidamente,volume_unmute
quita el silencio del volumen sin demoras,volume_unmute
nox sube el brillo,brightness_up
nox sube el brillo ahora,brightness_up
nox sube el brillo en este momento,brightness_up
nox sube el brillo por favor,brightness_up
nox sube el brillo rapidamente,brightness_up
nox sube el brillo sin demoras,brightness_up
por favor sube el brillo,brightness_up
por favor sube el brillo ahora,brightness_up
sube el brillo,brightness_up
sube el brillo ahora,brightness_up
sube el brillo en este momento,brightness_up
sube el brillo por favor,brightness_up
sube el brillo rapidamente,brightness_up
sube el brillo sin demoras,brightness_up
baja el brillo,brightness_down
baja el brillo ahora,brightness_down
baja el brillo en este momento,brightness_down
baja el brillo por favor,brightness_down
baja el brillo rapidamente,brightness_down
baja el brillo sin demoras,brightness_down
nox baja el brillo,brightness_down
nox baja el brillo ahora,brightness_down
nox baja el brillo en este momento,brightness_down
nox baja el brillo por favor,brightness_down
nox baja el brillo rapidamente,brightness_down
nox baja el brillo sin demoras,brightness_down
por favor baja el brillo,brightness_down
por favor baja el brillo ahora,brightness_down
activa el wifi,wifi_on
activa el wifi ahora,wifi_on
activa el wifi en este momento,wifi_on
activa el wifi por favor,wifi_on
activa el wifi rapidamente,wifi_on
activa el wifi sin demoras,wifi_on
nox activa el wifi,wifi_on
nox activa el wifi ahora,wifi_on
nox activa el wifi en este momento,wifi_on
nox activa el wifi por favor,wifi_on
nox activa el wifi rapidamente,wifi_on
nox activa el wifi sin demoras,wifi_on
por favor activa el wifi,wifi_on
por favor activa el wifi ahora,wifi_on
desactiva el wifi,wifi_off
desactiva el wifi ahora,wifi_off
desactiva el wifi en este momento,wifi_off
desactiva el wifi por favor,wifi_off
desactiva el wifi rapidamente,wifi_off
desactiva el wifi sin demoras,wifi_off
nox desactiva el wifi,wifi_off
nox desactiva el wifi ahora,wifi_off
nox desactiva el wifi en este momento,wifi_off
nox desactiva el wifi por favor,wifi_off
nox desactiva el wifi rapidamente,wifi_off
nox desactiva el wifi sin demoras,wifi_off
por favor desactiva el wifi,wifi_off
por favor desactiva el wifi ahora,wifi_off
activa el bluetooth,bluetooth_on
activa el bluetooth ahora,bluetooth_on
activa el bluetooth en este momento,bluetooth_on
activa el bluetooth por favor,bluetooth_on
activa el bluetooth rapidamente,bluetooth_on
activa el bluetooth sin demoras,bluetooth_on
nox activa el bluetooth,bluetooth_on
nox activa el bluetooth ahora,bluetooth_on
nox activa el bluetooth en este momento,bluetooth_on
nox activa el bluetooth por favor,bluetooth_on
nox activa el bluetooth rapidamente,bluetooth_on
nox activa el bluetooth sin demoras,bluetooth_on
por favor activa el bluetooth,bluetooth_on
por favor activa el bluetooth ahora,bluetooth_on
desactiva el bluetooth,bluetooth_off
desactiva el bluetooth ahora,bluetooth_off
desactiva el bluetooth en este momento,bluetooth_off
desactiva el bluetooth por favor,bluetooth_off
desactiva el bluetooth rapidamente,bluetooth_off
desactiva el bluetooth sin demoras,bluetooth_off
nox desactiva el bluetooth,bluetooth_off
nox desactiva el bluetooth ahora,bluetooth_off
nox desactiva el bluetooth en este momento,bluetooth_off
nox desactiva el bluetooth por favor,bluetooth_off
nox desactiva el bluetooth rapidamente,bluetooth_off
nox desactiva el bluetooth sin demoras,bluetooth_off
por favor desactiva el bluetooth,bluetooth_off
por favor desactiva el bluetooth ahora,bluetooth_off
activa el modo avion,airplane_mode_on
activa el modo avion ahora,airplane_mode_on
activa el modo avion en este momento,airplane_mode_on
activa el modo avion por favor,airplane_mode_on
activa el modo avion rapidamente,airplane_mode_on
activa el modo avion sin demoras,airplane_mode_on
nox activa el modo avion,airplane_mode_on
nox activa el modo avion ahora,airplane_mode_on
nox activa el modo avion en este momento,airplane_mode_on
nox activa el modo avion por favor,airplane_mode_on
nox activa el modo avion rapidamente,airplane_mode_on
nox activa el modo avion sin demoras,airplane_mode_on
por favor activa el modo avion,airplane_mode_on
por favor activa el modo avion ahora,airplane_mode_on
desactiva el modo avion,airplane_mode_off
desactiva el modo avion ahora,airplane_mode_off
desactiva el modo avion en este momento,airplane_mode_off
desactiva el modo avion por favor,airplane_mode_off
desactiva el modo avion rapidamente,airplane_mode_off
desactiva el modo avion sin demoras,airplane_mode_off
nox desactiva el modo avion,airplane_mode_off
nox desactiva el modo avion ahora,airplane_mode_off
nox desactiva el modo avion en este momento,airplane_mode_off
nox desactiva el modo avion por favor,airplane_mode_off
nox desactiva el modo avion rapidamente,airplane_mode_off
nox desactiva el modo avion sin demoras,airplane_mode_off
por favor desactiva el modo avion,airplane_mode_off
por favor desactiva el modo avion ahora,airplane_mode_off
activa el modo noche,night_mode_on
activa el modo noche ahora,night_mode_on
activa el modo noche en este momento,night_mode_on
activa el modo noche por favor,night_mode_on
activa el modo noche rapidamente,night_mode_on
activa el modo noche sin demoras,night_mode_on
nox activa el modo noche,night_mode_on
nox activa el modo noche ahora,night_mode_on
nox activa el modo noche en este momento,night_mode_on
nox activa el modo noche por favor,night_mode_on
nox activa el modo noche rapidamente,night_mode_on
nox activa el modo noche sin demoras,night_mode_on
por favor activa el modo noche,night_mode_on
por favor activa el modo noche ahora,night_mode_on
desactiva el modo noche,night_mode_off
desactiva el modo noche ahora,night_mode_off
desactiva el modo noche en este momento,night_mode_off
desactiva el modo noche por favor,night_mode_off
desactiva el modo noche rapidamente,night_mode_off
desactiva el modo noche sin demoras,night_mode_off
nox desactiva el modo noche,night_mode_off
nox desactiva el modo noche ahora,night_mode_off
nox desactiva el modo noche en este momento,night_mode_off
nox desactiva el modo noche por favor,night_mode_off
nox desactiva el modo noche rapidamente,night_mode_off
nox desactiva el modo noche sin demoras,night_mode_off
por favor desactiva el modo noche,night_mode_off
por favor desactiva el modo noche ahora,night_mode_off
abre spotify,open_spotify
abre spotify ahora,open_spotify
abre spotify en este momento,open_spotify
abre spotify por favor,open_spotify
abre spotify rapidamente,open_spotify
abre spotify sin demoras,open_spotify
nox abre spotify,open_spotify
nox abre spotify ahora,open_spotify
nox abre spotify en este momento,open_spotify
nox abre spotify por favor,open_spotify
nox abre spotify rapidamente,open_spotify
nox abre spotify sin demoras,open_spotify
por favor abre spotify,open_spotify
por favor abre spotify ahora,open_spotify
cierra spotify,close_spotify
cierra spotify ahora,close_spotify
cierra spotify en este momento,close_spotify
cierra spotify por favor,close_spotify
cierra spotify rapidamente,close_spotify
cierra spotify sin demoras,close_spotify
nox cierra spotify,close_spotify
nox cierra spotify ahora,close_spotify
nox cierra spotify en este momento,close_spotify
nox cierra spotify por favor,close_spotify
nox cierra spotify rapidamente,close_spotify
nox cierra spotify sin demoras,close_spotify
por favor cierra spotify,close_spotify
por favor cierra spotify ahora,close_spotify
abre youtube,open_youtube
abre youtube ahora,open_youtube
abre youtube en este momento,open_youtube
abre youtube por favor,open_youtube
abre youtube rapidamente,open_youtube
abre youtube sin demoras,open_youtube
nox abre youtube,open_youtube
nox abre youtube ahora,open_youtube
nox abre youtube en este momento,open_youtube
nox abre youtube por favor,open_youtube
nox abre youtube rapidamente,open_youtube
nox abre youtube sin demoras,open_youtube
por favor abre youtube,open_youtube
por favor abre youtube ahora,open_youtube
cierra youtube,close_youtube
cierra youtube ahora,close_youtube
cierra youtube en este momento,close_youtube
cierra youtube por favor,close_youtube
cierra youtube rapidamente,close_youtube
cierra youtube sin demoras,close_youtube
nox cierra youtube,close_youtube
nox cierra youtube ahora,close_youtube
nox cierra youtube en este momento,close_youtube
nox cierra youtube por favor,close_youtube
nox cierra youtube rapidamente,close_youtube
nox cierra youtube sin demoras,close_youtube
por favor cierra youtube,close_youtube
por favor cierra youtube ahora,close_youtube
abre netflix,open_netflix
abre netflix ahora,open_netflix
abre netflix en este momento,open_netflix
abre netflix por favor,open_netflix
abre netflix rapidamente,open_netflix
abre netflix sin demoras,open_netflix
nox abre netflix,open_netflix
nox abre netflix ahora,open_netflix
nox abre netflix en este momento,open_netflix
nox abre netflix por favor,open_netflix
nox abre netflix rapidamente,open_netflix
nox abre netflix sin demoras,open_netflix
por favor abre netflix,open_netflix
por favor abre netflix ahora,open_netflix
cierra netflix,close_netflix
cierra netflix ahora,close_netflix
cierra netflix en este momento,close_netflix
cierra netflix por favor,close_netflix
cierra netflix rapidamente,close_netflix
cierra netflix sin demoras,close_netflix
nox cierra netflix,close_netflix
nox cierra netflix ahora,close_netflix
nox cierra netflix en este momento,close_netflix
nox cierra netflix por favor,close_netflix
nox cierra netflix rapidamente,close_netflix
nox cierra netflix sin demoras,close_netflix
por favor cierra netflix,close_netflix
por favor cierra netflix ahora,close_netflix
abre discord,open_discord
abre discord ahora,open_discord
abre discord en este momento,open_discord
abre discord por favor,open_discord
abre discord rapidamente,open_discord
abre discord sin demoras,open_discord
nox abre discord,open_discord
nox abre discord ahora,open_discord
nox abre discord en este momento,open_discord
nox abre discord por favor,open_discord
nox abre discord rapidamente,open_discord
nox abre discord sin demoras,open_discord
por favor abre discord,open_discord
por favor abre discord ahora,open_discord
cierra discord,close_discord
cierra discord ahora,close_discord
cierra discord en este momento,close_discord
cierra discord por favor,close_discord
cierra discord rapidamente,close_discord
cierra discord sin demoras,close_discord
nox cierra discord,close_discord
nox cierra discord ahora,close_discord
nox cierra discord en este momento,close_discord
nox cierra discord por favor,close_discord
nox cierra discord rapidamente,close_discord
nox cierra discord sin demoras,close_discord
por favor cierra discord,close_discord
por favor cierra discord ahora,close_discord
abre whatsapp,open_whatsapp
abre whatsapp ahora,open_whatsapp
abre whatsapp en este momento,open_whatsapp
abre whatsapp por favor,open_whatsapp
abre whatsapp rapidamente,open_whatsapp
abre whatsapp sin demoras,open_whatsapp
nox abre whatsapp,open_whatsapp
nox abre whatsapp ahora,open_whatsapp
nox abre whatsapp en este momento,open_whatsapp
nox abre whatsapp por favor,open_whatsapp
nox abre whatsapp rapidamente,open_whatsapp
nox abre whatsapp sin demoras,open_whatsapp
por favor abre whatsapp,open_whatsapp
por favor abre whatsapp ahora,open_whatsapp
cierra whatsapp,close_whatsapp
cierra whatsapp ahora,close_whatsapp
cierra whatsapp en este momento,close_whatsapp
cierra whatsapp por favor,close_whatsapp
cierra whatsapp rapidamente,close_whatsapp
cierra whatsapp sin demoras,close_whatsapp
nox cierra whatsapp,close_whatsapp
nox cierra whatsapp ahora,close_whatsapp
nox cierra whatsapp en este momento,close_whatsapp
nox cierra whatsapp por favor,close_whatsapp
nox cierra whatsapp rapidamente,close_whatsapp
nox cierra whatsapp sin demoras,close_whatsapp
por favor cierra whatsapp,close_whatsapp
por favor cierra whatsapp ahora,close_whatsapp
abre steam,open_steam
abre steam ahora,open_steam
abre steam en este momento,open_steam
abre steam por favor,open_steam
abre steam rapidamente,open_steam
abre steam sin demoras,open_steam
nox abre steam,open_steam
nox abre steam ahora,open_steam
nox abre steam en este momento,open_steam
nox abre steam por favor,open_steam
nox abre steam rapidamente,open_steam
nox abre steam sin demoras,open_steam
por favor abre steam,open_steam
por favor abre steam ahora,open_steam
cierra steam,close_steam
cierra steam ahora,close_steam
cierra steam en este momento,close_steam
cierra steam por favor,close_steam
cierra steam rapidamente,close_steam
cierra steam sin demoras,close_steam
nox cierra steam,close_steam
nox cierra steam ahora,close_steam
nox cierra steam en este momento,close_steam
nox cierra steam por favor,close_steam
nox cierra steam rapidamente,close_steam
nox cierra steam sin demoras,close_steam
por favor cierra steam,close_steam
por favor cierra steam ahora,close_steam
abre chrome,open_chrome
abre chrome ahora,open_chrome
abre chrome en este momento,open_chrome
abre chrome por favor,open_chrome
abre chrome rapidamente,open_chrome
abre chrome sin demoras,open_chrome
nox abre chrome,open_chrome
nox abre chrome ahora,open_chrome
nox abre chrome en este momento,open_chrome
nox abre chrome por favor,open_chrome
nox abre chrome rapidamente,open_chrome
nox abre chrome sin demoras,open_chrome
por favor abre chrome,open_chrome
por favor abre chrome ahora,open_chrome
cierra chrome,close_chrome
cierra chrome ahora,close_chrome
cierra chrome en este momento,close_chrome
cierra chrome por favor,close_chrome
cierra chrome rapidamente,close_chrome
cierra chrome sin demoras,close_chrome
nox cierra chrome,close_chrome
nox cierra chrome ahora,close_chrome
nox cierra chrome en este momento,close_chrome
nox cierra chrome por favor,close_chrome
nox cierra chrome rapidamente,close_chrome
nox cierra chrome sin demoras,close_chrome
por favor cierra chrome,close_chrome
por favor cierra chrome ahora,close_chrome
abre edge,open_edge
abre edge ahora,open_edge
abre edge en este momento,open_edge
abre edge por favor,open_edge
abre edge rapidamente,open_edge
abre edge sin demoras,open_edge
nox abre edge,open_edge
nox abre edge ahora,open_edge
nox abre edge en este momento,open_edge
nox abre edge por favor,open_edge
nox abre edge rapidamente,open_edge
nox abre edge sin demoras,open_edge
por favor abre edge,open_edge
por favor abre edge ahora,open_edge
cierra edge,close_edge
cierra edge ahora,close_edge
cierra edge en este momento,close_edge
cierra edge por favor,close_edge
cierra edge rapidamente,close_edge
cierra edge sin demoras,close_edge
nox cierra edge,close_edge
nox cierra edge ahora,close_edge
nox cierra edge en este momento,close_edge
nox cierra edge por favor,close_edge
nox cierra edge rapidamente,close_edge
nox cierra edge sin demoras,close_edge
por favor cierra edge,close_edge
por favor cierra edge ahora,close_edge
abre una nueva pestana,browser_new_tab
abre una nueva pestana ahora,browser_new_tab
abre una nueva pestana en este momento,browser_new_tab
abre una nueva pestana por favor,browser_new_tab
abre una nueva pestana rapidamente,browser_new_tab
abre una nueva pestana sin demoras,browser_new_tab
nox abre una nueva pestana,browser_new_tab
nox abre una nueva pestana ahora,browser_new_tab
nox abre una nueva pestana en este momento,browser_new_tab
nox abre una nueva pestana por favor,browser_new_tab
nox abre una nueva pestana rapidamente,browser_new_tab
nox abre una nueva pestana sin demoras,browser_new_tab
por favor abre una nueva pestana,browser_new_tab
por favor abre una nueva pestana ahora,browser_new_tab
cierra la pestana actual,browser_close_tab
cierra la pestana actual ahora,browser_close_tab
cierra la pestana actual en este momento,browser_close_tab
cierra la pestana actual por favor,browser_close_tab
cierra la pestana actual rapidamente,browser_close_tab
cierra la pestana actual sin demoras,browser_close_tab
nox cierra la pestana actual,browser_close_tab
nox cierra la pestana actual ahora,browser_close_tab
nox cierra la pestana actual en este momento,browser_close_tab
nox cierra la pestana actual por favor,browser_close_tab
nox cierra la pestana actual rapidamente,browser_close_tab
nox cierra la pestana actual sin demoras,browser_close_tab
por favor cierra la pestana actual,browser_close_tab
por favor cierra la pestana actual ahora,browser_close_tab
nox ve a la siguiente pestana,browser_next_tab
nox ve a la siguiente pestana ahora,browser_next_tab
nox ve a la siguiente pestana en este momento,browser_next_tab
nox ve a la siguiente pestana por favor,browser_next_tab
nox ve a la siguiente pestana rapidamente,browser_next_tab
nox ve a la siguiente pestana sin demoras,browser_next_tab
por favor ve a la siguiente pestana,browser_next_tab
por favor ve a la siguiente pestana ahora,browser_next_tab
ve a la siguiente pestana,browser_next_tab
ve a la siguiente pestana ahora,browser_next_tab
ve a la siguiente pestana en este momento,browser_next_tab
ve a la siguiente pestana por favor,browser_next_tab
ve a la siguiente pestana rapidamente,browser_next_tab
ve a la siguiente pestana sin demoras,browser_next_tab
nox ve a la pestana anterior,browser_prev_tab
nox ve a la pestana anterior ahora,browser_prev_tab
nox ve a la pestana anterior en este momento,browser_prev_tab
nox ve a la pestana anterior por favor,browser_prev_tab
nox ve a la pestana anterior rapidamente,browser_prev_tab
nox ve a la pestana anterior sin demoras,browser_prev_tab
por favor ve a la pestana anterior,browser_prev_tab
por favor ve a la pestana anterior ahora,browser_prev_tab
ve a la pestana anterior,browser_prev_tab
ve a la pestana anterior ahora,browser_prev_tab
ve a la pestana anterior en este momento,browser_prev_tab
ve a la pestana anterior por favor,browser_prev_tab
ve a la pestana anterior rapidamente,browser_prev_tab
ve a la pestana anterior sin demoras,browser_prev_tab
nox recarga la pagina,browser_refresh
nox recarga la pagina ahora,browser_refresh
nox recarga la pagina en este momento,browser_refresh
